Info 0    [20:32:11.437] Starting TS Server
Info 42   [20:32:16.281] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 43   [20:32:16.917] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [20:32:16.924] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 7ms
Info 45   [20:32:16.924] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 46   [20:32:16.925] Structure before ensureProjectForOpenFiles:
Info 47   [20:32:16.925] Structure after ensureProjectForOpenFiles:
Info 48   [20:32:16.925] got projects updated in background, updating diagnostics for c:/Users/Jules/Code/dropshift/src/index.js
Info 49   [20:35:27.438] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [20:35:27.450] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 12ms
Info 51   [20:35:27.450] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 52   [20:35:27.576] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [20:35:27.585] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 9ms
Info 54   [20:35:27.585] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 55   [20:35:27.712] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [20:35:27.720] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 8ms
Info 57   [20:35:27.720] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 58   [20:35:28.201] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 59   [20:35:28.207] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 6ms
Info 60   [20:35:28.207] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 61   [20:35:28.232] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 62   [20:35:28.238] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 6ms
Info 63   [20:35:28.238] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 64   [20:35:28.264] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 65   [20:35:28.271] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 6ms
Info 66   [20:35:28.271] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 67   [20:35:28.294] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 68   [20:35:28.305] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 11ms
Info 69   [20:35:28.305] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 70   [20:35:28.323] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 71   [20:35:28.327] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 4ms
Info 72   [20:35:28.327] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 73   [20:35:28.351] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 74   [20:35:28.356] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 4ms
Info 75   [20:35:28.356] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 76   [20:35:28.382] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 77   [20:35:28.388] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 6ms
Info 78   [20:35:28.388] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 79   [20:35:28.412] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 80   [20:35:28.421] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 9ms
Info 81   [20:35:28.421] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 82   [20:35:28.439] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 83   [20:35:28.444] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 5ms
Info 84   [20:35:28.444] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 85   [20:35:28.469] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 86   [20:35:28.478] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 9ms
Info 87   [20:35:28.478] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 88   [20:35:28.633] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 89   [20:35:28.639] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 6ms
Info 90   [20:35:28.639] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 91   [20:35:28.889] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
